location,bedrooms,carports,bathrooms,plot_size_square_meters,type_of_property,price
Broadhurst,2,0,1,,residential," 750,000"
Francistown,3,0,1,670,residential," 690,000"
Phase 4,4,0,3,450,residential," 1,450,000"
Gabane,8,0,8,"1,565",residential," 2,350,000"
Block 5,3,0,2,520,residential," 1,200,000"
Block 6,3,0,2,,residential," 1,000,000"
Block 5,2,0,1,454,residential," 750,000"
Oodi,1,0,1,618,residential," 450,000"
Phase 1,3,2,2,849,residential," 1,800,000"
Tlokweng,2,0,1,"2,598",residential," 3,800,000"
11 Bedroom Lodge For Sale in Letlhakane,11,0,12,"2,745",residential," 7,500,000"
Tlokweng,3,2,3,"1,000",residential," 3,200,000"
Kgale View,3,0,2,387,residential," 960,000"
Mogoditshane Block 7,2,0,1,892,residential," 750,000"
Bokaa,2,0,1,"1,538",residential," 600,000"
Modipane,2,0,1,900,residential," 650,000"
1 Bedroom Studio Apartment For Sale in Gabane,1,0,1,"1,225",residential," 700,000"
Extension 14,2,0,1,464,residential," 700,000"
Block 8,3,0,2,405,residential," 1,100,000"
Ledumadumane,1,0,1,998,residential," 1,200,000"
Mmopane-Block 1,2,0,1,900,residential," 790,000"
Block 9,4,2,4,493,residential," 1,900,000"
New Canada,3,0,2,420,residential," 900,000"
Mogoditshane Block 9,2,0,1.5,977,residential," 750,000"
Block 6,3,0,2,435,residential," 900,000"
Mogoditshane,2,0,1,"1,436",residential," 2,950,000"
Gabane,4,2,2,"1,600",residential," 700,000"
"1,000m&#xB2; Vacant Land For Sale in Mokolodi 1",,,,"1,000",residential," 650,000"
Gaborone North,1,0,1,871,residential," 700,000"
Tlokweng,2,0,1,"1,000",residential," 680,000"
Block 10,3,2,2,617,residential," 1,800,000"
Tsholofelo East,3,0,2,300,residential," 1,000,000"
Ledumadumane,8,0,4,900,residential," 1,600,000"
Tlokweng,4,2,2,900,residential," 1,600,000"
Maruapula,3,1,2,806,residential," 1,600,000"
Block 10,3,1,2,300,residential," 1,200,000"
Mogoditshane,4,1,2,939,residential," 1,350,000"
Block 7,3,1,2,442,residential," 1,550,000"
Block 6,3,0,2,413,residential," 1,300,000"
"2,000m&#xB2; Vacant Land For Sale in Gaborone North",,,,"2,000",residential," 1,000,000"
Ledumadumane,3,0,2,870,residential," 900,000"
Francistown,3,1,3,,residential," 1,000,000"
Block 3,3,1,2,596,residential," 1,500,000"
Block 9,3,0,1,600,residential," 950,000"
Tlokweng,2,0,1,"1,175",residential," 950,000"
Phase 1,3,0,1,620,residential," 1,050,000"
Block 8,3,1,2,405,residential," 1,250,000"
Mogoditshane,2,0,1,,residential," 600,000"
Block 7,3,0,2,510,residential," 970,000"
Mogoditshane,2,0,1,723,residential," 1,300,000"
Tsholofelo East,3,0,2,388,residential," 950,000"
Gaborone North,3,0,2,755,residential," 1,370,000"
Tlokweng,2,1,2,"1,320",residential," 500,000"
Phase 2,3,0,2,408,residential," 1,000,000"
Tlokweng,3,0,2,882,residential," 1,150,000"
Mogoditshane Block 9,1,0,1,950,residential," 1,250,000"
Broadhurst,3,0,1,536,residential," 750,000"
Phase 1,3,0,1,548,residential," 680,000"
Tsholofelo,3,0,2,377,residential," 1,080,000"
Maratanang,2,0,1,972,residential," 850,000"
Tlokweng,4,2,3,"1,200",residential," 1,800,000"
Tsholofelo East,3,2,2,,residential," 1,190,000"
Ruretse,3,2,2,4,residential," 3,000,000"
Mokolodi,2,4,2,"3,470",residential,OA
Mmopane-Block 1,3,1,2,874,residential," 800,000"
Mokolodi,4,2,2,"3,262",residential," 2,525,000"
Francistown,3,2,2,920,residential," 1,400,000"
Mogoditshane Block 7,2,0,1,878,residential," 1,000,000"
Block 9,3,0,2,450,residential," 1,180,000"
Gaborone North,2,0,1,534,residential," 775,000"
Block 8,3,1,2,411,residential," 1,200,000"
7Ha Farm For Sale in Otse,0,0,0,7,residential," 1,200,000"
