location,bedrooms,carports,bathrooms,plot_size_square_meters,type_of_property,price
Phakalane Golf Estate,4,0,4.5,1320,residential,7200000
Phakalane Golf Estate,4,0,4.5,1040,residential,5950000
Phakalane,6,3,4,1800,residential,5500000
Phakalane,4,2,4,1194,residential,5500000
Extension 9,4,2,2.5,1390,residential,5000000
Block 10,4,3,4,937,residential,4700000
Block 10,4,2,4.5,884,residential,4700000
Phakalane,4,0,2.5,1784,residential,4500000
Gaborone North,4,0,2.5,19987,residential,4500000
Phakalane,4,0,4.5,2150,residential,4500000
Block 10,4,4,3,770,residential,4500000
Phakalane,4,2,3,2492,residential,4300000
Ruretse,0,0,0,4,residential,4200000
Phakalane Golf Estate,4,2,3,809,residential,3990000
Maru-A-Pula,4,2,2.5,1754,residential,3800000
Partial,4,3,3,1120,residential,3800000
Phakalane,4,2,2.5,2244,residential,3700000
Village,4,2,3.5,1342,residential,3600000
Phakalane,4,2,4.5,420,residential,3500000
Phakalane,4,2,2,1086,residential,3400000
Block 3,4,0,3,1080,residential,3400000
Gaborone North,4,0,2.5,3817,residential,3150000
Tlokweng,0,0,0,1207,residential,3150000
Village,4,0,4.5,1250,residential,3100000
Village,3,1,2.5,1748,residential,3080000
Ruretse,3,0,3.5,1.9,residential,3049000
Phakalane,4,0,3.5,1192,residential,3000000
Broadhurst,4,6,3.5,1200,residential,2950000
Kgale view,4,2,3,997,residential,2950000
Block 6,4,1,2.5,880,residential,2900000
Gaborone North,4,1,2.5,701,residential,2350000
Block 9,4,0,3,1150,residential,2300000
Block 3,3,2,2,1039,residential,2300000
Extension 4,4,0,3,598,residential,2200000
Gaborone North,3,2,2,846,residential,2100000
Block 10,0,0,0,770,residential,1900000
Block 10,3,1,2,452,residential,1800000
Gaborone West,0,3,0,646,residential,1795000
Phakalane,3,1,2,648,residential,1750000
Phakalane,3,2,3.5,592,residential,1700000
Phakalane,3,0,2.5,612,residential,1700000
Gaborone West,3,1,2.5,570,residential,1700000
Phakalane,3,0,2,878,residential,1650000
Broadhurst,4,2,3.5,450,residential,1450000
Block 10,3,0,2,398,residential,1450000
Broadhurst,3,1,2.5,400,residential,1380000
Broadhurst,3,2,3.5,398,residential,1300000
Bontleng Extension 14,5,0,1,496,residential,650000
