location,bedrooms,carports,bathrooms,plot_size_square_meters,type_of_property,price
Gaborone North,4,3,4,"
                                        950 m²
                                    ",residential,2 900 000
Phakalane Golf Estate,4,2,4,"
                                        1 000 m²
                                    ",residential,5 400 000
Gaborone,4,,1,"
                                        598 m²
                                    ",residential,2 200 000
Gaborone North,4,2,4,"
                                        900 m²
                                    ",residential,1 900 000
Phakalane Golf Estate,5,2,4,"
                                        1 320 m²
                                    ",residential,7 199 999
Broadhurst,4,,3.5,"
                                        1 200 m²
                                    ",residential,2 950 000
Phakalane,3,,1,"
                                        436 m²
                                    ",residential,1 750 000
Phakalane,4,4,3,"
                                        2 086 m²
                                    ",residential,6 500 000
Gaborone,6,3,2,"
                                        4 300 ha
                                    ",residential,4 900 000
Gaborone,4,,4,"
                                        2 ha
                                    ",residential,5 494 999
Gaborone,3,2,2,"
                                        4 ha
                                    ",residential,3 700 000
Phakalane,5,2,2,"
                                        1 793 m²
                                    ",residential,4 500 000
