location,bedrooms,carports,bathrooms,plot_size_square_meters,type_of_property,price
Mokolodi Phase 1,2,1,1,900,residential,"800,000"
Gaborone North,,,,740,residential,"890,000"
Town Centre,3,2,2,388,residential,"950,000"
Block 6,2,1,1,413,residential,"1,000,000"
Gaborone West Phase 1,3,2,2,450,residential,"1,100,000"
Selebi-Phikwe,3,2,2,800,residential,"1,200,000"
Oodi Matebeleng,3,2,2,1610,residential,"1,400,000"
Block 6,3,2,2,413,residential,"1,400,000"
Tsholofelo,3,3,3,542,residential,"1,500,000"
Block 9,3,2,2,704,residential,"1,500,000"
Maun,3,2,2,1428,residential,"1,500,000"
Block 7,3,2,2,440,residential,"1,550,000"
Monarch,3,2,2,1167,residential,"1,600,000"
Gaborone North,3,3,3,938,residential,"1,600,000"
Maun,2,1,1,,residential,"1,600,000"
Lobatse,3,1,1,3265,residential,"1,626,000"
Gaborone North,5,5,5,700,residential,"1,700,000"
Phakalane Phase 3,3,2,2,612,residential,"1,700,000"
Tlokweng,3,2,2,900,residential,"1,800,000"
Kgale View,3,2,2,750,residential,"1,870,000"
Gaborone North,4,4,4,900,residential,"1,900,000"
Mogoditshane,4,2,2,1526,residential,"1,950,000"
Phakalane Phase 3,3,2,2,758,residential,"1,975,000"
Block 10,3,2,2,509,residential,"2,000,000"
Phakalane Phase 3,4,3,3,684,residential,"2,000,000"
Gaborone North,3,2,2,846,residential,"2,100,000"
Gaborone North,1,1,1,897,residential,"2,100,000"
Phakalane Phase 1,3,2,2,1152,residential,"2,200,000"
Gaborone,3,2,2,808,residential,"2,200,000"
Block 3,3,2,2,1039,residential,"2,300,000"
Tsholofelo,6,4,4,450,residential,"2,490,000"
Phakalane Phase 3,3,2,2,944,residential,"2,600,000"
Maun,3,2,2,1700,residential,"2,700,000"
Gaborone North,4,3,3,2000,residential,"2,900,000"
Gaborone North,4,4,4,950,residential,"2,900,000"
Block 6,3,2,2,881,residential,"2,900,000"
Broadhurst,4,4,4,1200,residential,"3,000,000"
Phakalane Phase 3,4,4,4,648,residential,"3,200,000"
Phakalane Phase 1,4,2,2,1375,residential,"3,300,000"
Phakalane Phase 1,4,4,4,,residential,"3,500,000"
Phakalane Phase 1,4,2,2,1200,residential,"3,600,000"
Sentlhane,3,2,2,4 Hectares,residential,"3,700,000"
Maun,5,3,3,3271,residential,"3,750,000"
Phakalane Phase 3,4,4,4,1296,residential,"3,800,000"
Block 9,6,6,6,1200,residential,"3,800,000"
Mokolodi Phase 2,4,3,3,2970,residential,"3,850,000"
Phakalane Golf Estate,4,3,3,809,residential,"3,900,000"
Phakalane Golf Estate,3,2,2,1220,residential,"3,950,000"
Ruretse,,,,4 Hectares,residential,"3,950,000"
Gaborone North,,,,2.0328HA,residential,"4,000,000"
Gaborone North,3,2,2,846,residential,"4,000,000"
Mokolodi Phase 2,4,4,4,"1,2060 Hectares",residential,"4,300,000"
Phakalane Phase 2,5,4,4,2150,residential,"4,500,000"
Phakalane Phase 1,4,3,3,1800,residential,"4,500,000"
Phakalane Phase 3,5,2,2,1793,residential,"4,500,000"
Gaborone North,4,2,2,2 Hectares,residential,"4,500,000"
Block 10,4,3,3,770,residential,"4,500,000"
Phakalane Golf Estate,3,3,3,1000,residential,"4,500,000"
Mogoditshane,4,4,4,"2,515",residential,"4,700,000"
Sentlhane,6,2,2,4.3Ha,residential,"4,900,000"
Block 10,4,4,4,617,residential,"5,000,000"
Kasane,3,3,3,1525M,residential,"5,300,000"
Phakalane Golf Estate,4,4,4,1000,residential,"5,400,000"
Ruretse,4,4,4,2 Hectares,residential,"5,495,000"
Phakalane Phase 1,6,4,4,1800,residential,"5,500,000"
Phakalane Phase 3,4,5,5,1194,residential,"5,500,000"
Mokolodi Phase 1,8,8,8,2309,residential,"6,000,000"
Phakalane Golf Estate,3,3,3,1265,residential,"6,300,000"
Phakalane Golf Estate,4,4,4,1200,residential,"6,400,000"
Phakalane Phase 1,4,3,3,2086,residential,"6,500,000"
Phakalane Golf Estate,6,5,5,1197,residential,"7,000,000"
Phakalane Golf Estate,5,4,4,1320,residential,"7,200,000"
Notwane,4,4,4,"4,0531Ha",residential,"7,500,000"
Mokolodi,,,,8.8ha,residential,"9,000,000"
Phakalane Golf Estate,4,4,4,1098,residential,"11,000,000"
Phakalane Golf Estate,4,5,5,1000,residential,"14,000,000"
